觀測月份,觀測站,當月資料缺漏超過1日,降雨量
"2023-03","苗栗農改場","","39"
"2023-02","苗栗農改場","","18.5"
"2023-01","苗栗農改場","","9.5"
"2022-12","苗栗農改場","","22"
"2022-11","苗栗農改場","","26.5"
"2022-10","苗栗農改場","","19.5"
"2022-09","苗栗農改場","","192.5"
"2022-08","苗栗農改場","","155.5"
"2022-07","苗栗農改場","","207"
"2022-06","苗栗農改場","","497"
"2022-05","苗栗農改場","","558.5"
"2022-04","苗栗農改場","","83"
"2022-03","苗栗農改場","","299"
"2022-02","苗栗農改場","","215.5"
"2022-01","苗栗農改場","","65.5"
"2021-12","苗栗農改場","","65"
"2021-11","苗栗農改場","","9"
"2021-10","苗栗農改場","","13"
"2021-09","苗栗農改場","","93.5"
"2021-08","苗栗農改場","","484"
"2021-07","苗栗農改場","","332.5"
"2021-06","苗栗農改場","","414"
"2021-05","苗栗農改場","","273.5"
"2021-04","苗栗農改場","","38.5"
"2021-03","苗栗農改場","","52"
"2021-02","苗栗農改場","","42.5"
"2021-01","苗栗農改場","","14"
"2020-12","苗栗農改場","","51.5"
"2020-11","苗栗農改場","","6.5"
"2019-12","苗栗農改場","*","86.5"
"2019-11","苗栗農改場","","0.5"
"2019-10","苗栗農改場","*","13.5"
"2019-09","苗栗農改場","*","55.5"
"2019-08","苗栗農改場","*","513.5"
"2019-07","苗栗農改場","","127.5"
"2019-06","苗栗農改場","","444"
"2019-05","苗栗農改場","","357"
"2019-04","苗栗農改場","*","126.5"
"2019-03","苗栗農改場","","314.5"
"2019-02","苗栗農改場","*","30"
"2019-01","苗栗農改場","*","32"
"2018-12","苗栗農改場","*","1.5"
"2018-11","苗栗農改場","","21.5"
"2018-10","苗栗農改場","","13.5"
"2018-09","苗栗農改場","","58.5"
"2018-08","苗栗農改場","","XXX"
"2018-07","苗栗農改場","","105"
"2018-06","苗栗農改場","","173"
"2018-05","苗栗農改場","","64"
"2018-04","苗栗農改場","","68.5"
"2018-03","苗栗農改場","*","65.5"
"2018-02","苗栗農改場","","XXX"
"2018-01","苗栗農改場","","172"
"2017-12","苗栗農改場","*","14"
"2017-11","苗栗農改場","","11"
"2017-10","苗栗農改場","","36"
"2017-09","苗栗農改場","","52"
"2017-08","苗栗農改場","*","32"
"2017-07","苗栗農改場","","323"
"2017-06","苗栗農改場","","708"
"2017-05","苗栗農改場","*","81"
"2017-04","苗栗農改場","*","121"
"2017-03","苗栗農改場","*","104.5"
"2017-02","苗栗農改場","*","64"
"2017-01","苗栗農改場","*","15"
"2016-12","苗栗農改場","*","6"
"2016-11","苗栗農改場","","XXX"
"2016-10","苗栗農改場","","9"
"2016-09","苗栗農改場","","193"
"2016-08","苗栗農改場","*","182"
"2016-07","苗栗農改場","*","28.5"
"2016-06","苗栗農改場","","176"
"2016-05","苗栗農改場","*","187.5"
"2016-04","苗栗農改場","","194"
"2016-03","苗栗農改場","","317.5"
"2016-02","苗栗農改場","","40.5"
"2016-01","苗栗農改場","","252.5"
"2015-12","苗栗農改場","*","69"
"2015-11","苗栗農改場","","2"
"2015-10","苗栗農改場","*","40.5"
"2015-09","苗栗農改場","","218"
"2015-08","苗栗農改場","","256.5"
"2015-07","苗栗農改場","","178"
"2015-06","苗栗農改場","","64.5"
"2015-05","苗栗農改場","","355.5"
"2015-04","苗栗農改場","","50"
"2015-03","苗栗農改場","*","62"
"2015-02","苗栗農改場","*","59.5"
"2015-01","苗栗農改場","*","20.5"
"2014-12","苗栗農改場","*","48"
"2014-11","苗栗農改場","*","1"
"2014-10","苗栗農改場","*","6.5"
"2014-09","苗栗農改場","","44"
"2014-08","苗栗農改場","","153"
"2014-07","苗栗農改場","","44"
"2014-06","苗栗農改場","","222.5"
"2014-05","苗栗農改場","","479"
"2014-04","苗栗農改場","","39.5"
"2014-03","苗栗農改場","","91.5"
"2014-02","苗栗農改場","","90.5"
"2014-01","苗栗農改場","","0.5"
"2013-12","苗栗農改場","","117.5"
"2013-11","苗栗農改場","*","25"
"2013-10","苗栗農改場","","42"
"2013-09","苗栗農改場","","94"
"2013-08","苗栗農改場","","610"
"2013-07","苗栗農改場","","532"
"2013-06","苗栗農改場","","105.5"
"2013-05","苗栗農改場","","330"
"2013-04","苗栗農改場","","232.5"
"2013-03","苗栗農改場","","67.5"
"2013-02","苗栗農改場","","6.5"
"2013-01","苗栗農改場","","35"
"2012-12","苗栗農改場","","83.5"
"2012-11","苗栗農改場","","205"
"2012-10","苗栗農改場","","9.5"
"2012-09","苗栗農改場","","95"
"2012-08","苗栗農改場","","797"
"2012-07","苗栗農改場","","135"
"2012-06","苗栗農改場","","279.5"
"2012-05","苗栗農改場","","194.5"
"2012-04","苗栗農改場","","247.5"
"2012-03","苗栗農改場","","53.5"
"2012-02","苗栗農改場","","167.5"
"2012-01","苗栗農改場","","143.5"
"2011-12","苗栗農改場","","50.5"
"2011-11","苗栗農改場","","179"
"2011-10","苗栗農改場","","10.5"
"2011-09","苗栗農改場","","29.5"
"2011-08","苗栗農改場","","67"
"2011-07","苗栗農改場","","358.5"
"2011-06","苗栗農改場","","183"
"2011-05","苗栗農改場","","176"
"2011-04","苗栗農改場","","3"
"2011-03","苗栗農改場","","64"
"2011-02","苗栗農改場","","38.5"
"2011-01","苗栗農改場","","48"
"2010-12","苗栗農改場","","46.5"
"2010-11","苗栗農改場","","10"
"2010-10","苗栗農改場","","10"
"2010-09","苗栗農改場","","240.5"
"2010-08","苗栗農改場","","98.5"
"2010-07","苗栗農改場","","137.5"
"2010-06","苗栗農改場","","471"
"2010-05","苗栗農改場","","226"
"2010-04","苗栗農改場","","128.5"
"2010-03","苗栗農改場","","53"
"2010-02","苗栗農改場","","209.5"
"2010-01","苗栗農改場","","48.5"
"2023-03","花蓮農改場","","44"
"2023-02","花蓮農改場","","32"
"2023-01","花蓮農改場","","167"
"2022-12","花蓮農改場","","32.5"
"2022-11","花蓮農改場","","124.5"
"2022-10","花蓮農改場","","858.5"
"2022-09","花蓮農改場","","164.5"
"2022-08","花蓮農改場","","62.5"
"2022-07","花蓮農改場","","104"
"2022-06","花蓮農改場","","106.5"
"2022-05","花蓮農改場","","318.5"
"2022-04","花蓮農改場","","85.5"
"2022-03","花蓮農改場","","45"
"2022-02","花蓮農改場","","82.5"
"2022-01","花蓮農改場","","163"
"2021-12","花蓮農改場","","36"
"2021-11","花蓮農改場","","88.5"
"2021-10","花蓮農改場","","708"
"2021-09","花蓮農改場","","226.5"
"2021-08","花蓮農改場","","113.5"
"2021-07","花蓮農改場","","41.5"
"2021-06","花蓮農改場","","116.5"
"2021-05","花蓮農改場","","138.5"
"2021-04","花蓮農改場","","103.5"
"2019-12","花蓮農改場","*","72.5"
"2019-11","花蓮農改場","*","102.5"
"2019-10","花蓮農改場","*","126.5"
"2019-09","花蓮農改場","*","248.5"
"2019-08","花蓮農改場","*","234"
"2019-07","花蓮農改場","","76"
"2019-06","花蓮農改場","","267.5"
"2019-05","花蓮農改場","","214.5"
"2019-04","花蓮農改場","*","71"
"2019-03","花蓮農改場","","123"
"2019-02","花蓮農改場","","XXX"
"2019-01","花蓮農改場","","73.5"
"2018-12","花蓮農改場","*","63.5"
"2018-11","花蓮農改場","*","127"
"2018-10","花蓮農改場","","118.5"
"2018-09","花蓮農改場","","265"
"2018-08","花蓮農改場","","437.5"
"2018-07","花蓮農改場","","46"
"2018-06","花蓮農改場","","107"
"2018-05","花蓮農改場","","29"
"2018-04","花蓮農改場","","30.5"
"2018-03","花蓮農改場","","58.5"
"2018-02","花蓮農改場","","42.5"
"2018-01","花蓮農改場","","97.5"
"2017-12","花蓮農改場","","66.5"
"2017-11","花蓮農改場","","99"
"2017-10","花蓮農改場","","981.5"
"2017-09","花蓮農改場","","59"
"2017-08","花蓮農改場","*","148.5"
"2017-07","花蓮農改場","","155"
"2017-06","花蓮農改場","","205"
"2017-05","花蓮農改場","","173"
"2017-04","花蓮農改場","*","123.5"
"2017-03","花蓮農改場","","108.5"
"2017-02","花蓮農改場","","37.5"
"2017-01","花蓮農改場","*","32.5"
"2016-12","花蓮農改場","*","26.5"
"2016-11","花蓮農改場","","173.5"
"2016-10","花蓮農改場","","752"
"2016-09","花蓮農改場","","947"
"2016-08","花蓮農改場","*","214.5"
"2016-07","花蓮農改場","","367.5"
"2016-06","花蓮農改場","*","161"
"2016-05","花蓮農改場","","112"
"2016-04","花蓮農改場","*","65.5"
"2016-03","花蓮農改場","","XXX"
"2016-02","花蓮農改場","","XXX"
"2016-01","花蓮農改場","","XXX"
"2015-12","花蓮農改場","","XXX"
"2015-11","花蓮農改場","","XXX"
"2015-10","花蓮農改場","","61.5"
"2015-09","花蓮農改場","*","78"
"2015-08","花蓮農改場","*","494"
"2015-07","花蓮農改場","","59"
"2015-06","花蓮農改場","","74.5"
"2015-05","花蓮農改場","","146.5"
"2015-04","花蓮農改場","*","50.5"
"2015-03","花蓮農改場","","97.5"
"2015-02","花蓮農改場","","28.5"
"2015-01","花蓮農改場","","23.5"
"2014-12","花蓮農改場","*","36.5"
"2014-11","花蓮農改場","","68.5"
"2014-10","花蓮農改場","","23.5"
"2014-09","花蓮農改場","","186.5"
"2014-08","花蓮農改場","*","112.5"
"2014-07","花蓮農改場","","380"
"2014-06","花蓮農改場","","87"
"2014-05","花蓮農改場","","222.5"
"2014-04","花蓮農改場","","73"
"2014-03","花蓮農改場","*","11"
"2014-02","花蓮農改場","","XXX"
"2014-01","花蓮農改場","","0"
"2013-12","花蓮農改場","","2.5"
"2013-11","花蓮農改場","","128.5"
"2013-10","花蓮農改場","","215.5"
"2013-09","花蓮農改場","","543.5"
"2013-08","花蓮農改場","","76.5"
"2013-07","花蓮農改場","","39.5"
"2013-06","花蓮農改場","","86"
"2013-05","花蓮農改場","","354.5"
"2013-04","花蓮農改場","","139"
"2013-03","花蓮農改場","","27"
"2013-02","花蓮農改場","","59.5"
"2013-01","花蓮農改場","","58.5"
"2012-12","花蓮農改場","","130.5"
"2012-11","花蓮農改場","*","87.3"
"2012-10","花蓮農改場","","77.5"
"2012-09","花蓮農改場","","31"
"2012-08","花蓮農改場","","587.5"
"2012-07","花蓮農改場","","309"
"2012-06","花蓮農改場","","281.5"
"2012-05","花蓮農改場","","199"
"2012-04","花蓮農改場","","71.5"
"2012-03","花蓮農改場","","81.5"
"2012-02","花蓮農改場","","78"
"2012-01","花蓮農改場","*","53"
"2011-12","花蓮農改場","","83.5"
"2011-11","花蓮農改場","","468.5"
"2011-10","花蓮農改場","","488"
"2011-09","花蓮農改場","","147.5"
"2011-08","花蓮農改場","","446.5"
"2011-07","花蓮農改場","","97.5"
"2011-06","花蓮農改場","","80.5"
"2011-05","花蓮農改場","","197.5"
"2011-04","花蓮農改場","","52.5"
"2011-03","花蓮農改場","","63.5"
"2011-02","花蓮農改場","","43"
"2011-01","花蓮農改場","","25"
"2010-12","花蓮農改場","","33"
"2010-11","花蓮農改場","","81.5"
"2010-10","花蓮農改場","","561"
"2010-09","花蓮農改場","","271.5"
"2010-08","花蓮農改場","","86.5"
"2010-07","花蓮農改場","","86.5"
"2010-06","花蓮農改場","","106"
"2010-05","花蓮農改場","","108"
"2010-04","花蓮農改場","","67.5"
"2010-03","花蓮農改場","","17.5"
"2010-02","花蓮農改場","","90.5"
"2010-01","花蓮農改場","","80.5"
"2023-03","臺西水試所","","8"
"2023-02","臺西水試所","","7.5"
"2023-01","臺西水試所","","4"
"2022-12","臺西水試所","","11"
"2022-11","臺西水試所","","0"
"2022-10","臺西水試所","","0"
"2022-09","臺西水試所","","13.5"
"2022-08","臺西水試所","","145.5"
"2022-07","臺西水試所","","92.5"
"2022-06","臺西水試所","","176.5"
"2022-05","臺西水試所","","291"
"2022-04","臺西水試所","","17.5"
"2022-03","臺西水試所","","92.5"
"2022-02","臺西水試所","","77"
"2022-01","臺西水試所","","25"
"2021-12","臺西水試所","","15.5"
"2021-11","臺西水試所","","4"
"2021-10","臺西水試所","","17.5"
"2021-09","臺西水試所","","25"
"2021-08","臺西水試所","","596"
"2021-07","臺西水試所","","57.5"
"2021-06","臺西水試所","","417.5"
"2021-05","臺西水試所","","84"
"2021-04","臺西水試所","","38.5"
"2021-03","臺西水試所","","5.5"
"2021-02","臺西水試所","","12.5"
"2021-01","臺西水試所","","1"
"2020-12","臺西水試所","","無資料"
"2020-11","臺西水試所","","無資料"
"2023-03","臺東茶改場","","8.5"
"2023-02","臺東茶改場","","13.5"
"2023-01","臺東茶改場","","36.5"
"2022-12","臺東茶改場","","14.5"
"2022-11","臺東茶改場","","54"
"2022-10","臺東茶改場","","431.5"
"2022-09","臺東茶改場","*","113"
"2022-08","臺東茶改場","","195"
"2022-07","臺東茶改場","","65"
"2022-06","臺東茶改場","","182"
"2022-05","臺東茶改場","","200"
"2022-04","臺東茶改場","","216.5"
"2022-03","臺東茶改場","","43"
"2022-02","臺東茶改場","","66"
"2022-01","臺東茶改場","","136"
"2021-12","臺東茶改場","","27"
"2021-11","臺東茶改場","*","7.5"
"2021-10","臺東茶改場","","809.5"
"2021-09","臺東茶改場","","119.5"
"2021-08","臺東茶改場","","277.5"
"2021-07","臺東茶改場","","126.5"
"2021-06","臺東茶改場","","151"
"2021-05","臺東茶改場","","73.5"
"2021-04","臺東茶改場","","43"
"2023-03","臺大雲林校區","","15"
"2023-02","臺大雲林校區","","6"
"2023-01","臺大雲林校區","","3"
"2022-12","臺大雲林校區","","16"
"2022-11","臺大雲林校區","","1.5"
"2022-10","臺大雲林校區","","5"
"2022-09","臺大雲林校區","","32"
"2022-08","臺大雲林校區","","369.5"
"2022-07","臺大雲林校區","","36.5"
"2022-06","臺大雲林校區","","197.5"
"2022-05","臺大雲林校區","","288.5"
"2022-04","臺大雲林校區","","35.5"
"2022-03","臺大雲林校區","","93"
"2022-02","臺大雲林校區","","82"
"2022-01","臺大雲林校區","","22.5"
"2021-12","臺大雲林校區","","21"
"2021-11","臺大雲林校區","","5"
"2021-10","臺大雲林校區","","8.5"
"2021-09","臺大雲林校區","","38"
"2021-08","臺大雲林校區","","442.5"
"2021-07","臺大雲林校區","","122"
"2021-06","臺大雲林校區","","632"
"2021-05","臺大雲林校區","","95.5"
"2021-04","臺大雲林校區","","30"
"2021-03","臺大雲林校區","","7.5"
"2021-02","臺大雲林校區","","28"
"2021-01","臺大雲林校區","","1.5"
"2020-12","臺大雲林校區","","無資料"
"2020-11","臺大雲林校區","","無資料"
"2023-03","臺大竹山","","24"
"2023-02","臺大竹山","","3.5"
"2023-01","臺大竹山","","18"
"2022-12","臺大竹山","","15.5"
"2022-11","臺大竹山","","1"
"2022-10","臺大竹山","","22"
"2022-09","臺大竹山","","182.5"
"2022-08","臺大竹山","","404"
"2022-07","臺大竹山","","217"
"2022-06","臺大竹山","","466"
"2022-05","臺大竹山","","362"
"2022-04","臺大竹山","","175.5"
"2022-03","臺大竹山","","118.5"
"2022-02","臺大竹山","","109"
"2022-01","臺大竹山","","33"
"2021-12","臺大竹山","","23"
"2021-11","臺大竹山","","9.5"
"2021-10","臺大竹山","","17"
"2021-09","臺大竹山","","157"
"2021-08","臺大竹山","","652.5"
"2021-07","臺大竹山","","432.5"
"2021-06","臺大竹山","","965.5"
"2021-05","臺大竹山","","139"
"2021-04","臺大竹山","","35"
"2021-03","臺大竹山","","12"
"2021-02","臺大竹山","","27"
"2021-01","臺大竹山","","8.5"
"2020-12","臺大竹山","","38"
"2020-11","臺大竹山","","17"
"2022-05","臺大溪頭","","424"
"2022-04","臺大溪頭","","88"
"2022-03","臺大溪頭","","131.5"
"2022-02","臺大溪頭","","158.5"
"2022-01","臺大溪頭","","76.5"
"2021-12","臺大溪頭","","29.5"
"2021-11","臺大溪頭","","30"
"2021-10","臺大溪頭","","57"
"2021-09","臺大溪頭","","173.5"
"2021-08","臺大溪頭","","722"
"2021-07","臺大溪頭","","354"
"2021-06","臺大溪頭","","652"
"2021-05","臺大溪頭","","124.5"
"2021-04","臺大溪頭","","20"
"2021-03","臺大溪頭","","27"
"2021-02","臺大溪頭","","26.5"
"2021-01","臺大溪頭","","66"
"2023-03","臺大和社","","30.5"
"2023-02","臺大和社","","1"
"2023-01","臺大和社","","28.5"
"2022-12","臺大和社","","32"
"2022-11","臺大和社","","38.5"
"2022-10","臺大和社","","38"
"2022-09","臺大和社","","223"
"2022-08","臺大和社","","127"
"2022-07","臺大和社","","144.5"
"2022-06","臺大和社","","139"
"2022-05","臺大和社","","322.5"
"2022-04","臺大和社","","47"
"2022-03","臺大和社","","76"
"2022-02","臺大和社","","137"
"2022-01","臺大和社","","60.5"
"2021-12","臺大和社","","23"
"2021-11","臺大和社","","30"
"2021-10","臺大和社","","53"
"2021-09","臺大和社","","87"
"2021-08","臺大和社","","622"
"2021-07","臺大和社","","216.5"
"2021-06","臺大和社","","333.5"
"2021-05","臺大和社","","71.5"
"2021-04","臺大和社","","21"
"2021-03","臺大和社","","18"
"2021-02","臺大和社","","25"
"2021-01","臺大和社","","10"
"2020-12","臺大和社","","無資料"
"2020-11","臺大和社","","無資料"
"2023-03","臺大內茅埔","","31.5"
"2023-02","臺大內茅埔","","1"
"2023-01","臺大內茅埔","","18"
"2022-12","臺大內茅埔","","35"
"2022-11","臺大內茅埔","","10"
"2022-10","臺大內茅埔","","36"
"2022-09","臺大內茅埔","","216.5"
"2022-08","臺大內茅埔","","136"
"2022-07","臺大內茅埔","","93.5"
"2022-06","臺大內茅埔","","131"
"2022-05","臺大內茅埔","","313.5"
"2022-04","臺大內茅埔","","49"
"2022-03","臺大內茅埔","","99.5"
"2022-02","臺大內茅埔","","120.5"
"2022-01","臺大內茅埔","","54.5"
"2021-12","臺大內茅埔","","16"
"2021-11","臺大內茅埔","","20.5"
"2021-10","臺大內茅埔","","41"
"2021-09","臺大內茅埔","","116"
"2021-08","臺大內茅埔","","517"
"2021-07","臺大內茅埔","","331.5"
"2021-06","臺大內茅埔","","417.5"
"2021-05","臺大內茅埔","","84.5"
"2021-04","臺大內茅埔","","50"
"2021-03","臺大內茅埔","","16"
"2021-02","臺大內茅埔","","22.5"
"2021-01","臺大內茅埔","","7.5"
"2020-12","臺大內茅埔","","無資料"
"2020-11","臺大內茅埔","","無資料"
"2023-03","臺南農改場","","1"
"2023-02","臺南農改場","","0.5"
"2023-01","臺南農改場","","1"
"2022-12","臺南農改場","","10.5"
"2022-11","臺南農改場","","1.5"
"2022-10","臺南農改場","","26.5"
"2022-09","臺南農改場","","48"
"2022-08","臺南農改場","","511"
"2022-07","臺南農改場","","166"
"2022-06","臺南農改場","","197.5"
"2022-05","臺南農改場","","239.5"
"2022-04","臺南農改場","","0"
"2022-03","臺南農改場","","21.5"
"2022-02","臺南農改場","","39"
"2022-01","臺南農改場","","38.5"
"2021-12","臺南農改場","","12"
"2021-11","臺南農改場","","5.5"
"2021-10","臺南農改場","","31.5"
"2021-09","臺南農改場","","225"
"2021-08","臺南農改場","","917"
"2021-07","臺南農改場","","439"
"2021-06","臺南農改場","","1059"
"2021-05","臺南農改場","","59"
"2021-04","臺南農改場","","19.5"
"2023-03","臺南蘭花園區","","1.5"
"2023-02","臺南蘭花園區","","0"
"2023-01","臺南蘭花園區","","8.5"
"2022-12","臺南蘭花園區","","9.5"
"2022-11","臺南蘭花園區","","0.5"
"2022-10","臺南蘭花園區","","4.5"
"2022-09","臺南蘭花園區","","44"
"2022-08","臺南蘭花園區","","310.5"
"2022-07","臺南蘭花園區","","169"
"2022-06","臺南蘭花園區","","273"
"2022-05","臺南蘭花園區","","243"
"2022-04","臺南蘭花園區","","29.5"
"2022-03","臺南蘭花園區","","36.5"
"2022-02","臺南蘭花園區","","69"
"2022-01","臺南蘭花園區","","38"
"2021-12","臺南蘭花園區","","22.5"
"2021-11","臺南蘭花園區","","14"
"2021-10","臺南蘭花園區","","11"
"2021-09","臺南蘭花園區","","75"
"2021-08","臺南蘭花園區","","567"
"2021-07","臺南蘭花園區","","175"
"2021-06","臺南蘭花園區","","566"
"2021-05","臺南蘭花園區","","97.5"
"2021-04","臺南蘭花園區","","22"
"2017-12","義竹工作站","","2.5"
"2017-11","義竹工作站","","10.5"
"2017-10","義竹工作站","","25.5"
"2017-09","義竹工作站","","14.5"
"2017-08","義竹工作站","","145.5"
"2017-07","義竹工作站","","505"
"2017-06","義竹工作站","","372"
"2017-05","義竹工作站","","81.5"
"2017-04","義竹工作站","","109.5"
"2017-03","義竹工作站","","13.5"
"2017-02","義竹工作站","","1.5"
"2017-01","義竹工作站","","0"
"2016-12","義竹工作站","*","9.5"
"2016-11","義竹工作站","","35.5"
"2016-10","義竹工作站","","33.5"
"2016-09","義竹工作站","","XXX"
"2016-08","義竹工作站","","XXX"
"2016-07","義竹工作站","","XXX"
"2016-06","義竹工作站","","XXX"
"2016-05","義竹工作站","","XXX"
"2016-04","義竹工作站","*","10"
"2016-03","義竹工作站","","89"
"2016-02","義竹工作站","","14.5"
"2016-01","義竹工作站","","112"
"2015-12","義竹工作站","*","37"
"2015-11","義竹工作站","","2.5"
"2015-10","義竹工作站","","10"
"2015-09","義竹工作站","","383"
"2015-08","義竹工作站","","517"
"2015-07","義竹工作站","","277"
"2015-06","義竹工作站","","41.5"
"2015-05","義竹工作站","*","381.5"
"2015-04","義竹工作站","","53"
"2015-03","義竹工作站","","16"
"2015-02","義竹工作站","","60"
"2015-01","義竹工作站","","6"
"2014-12","義竹工作站","","14"
"2014-11","義竹工作站","","5"
"2014-10","義竹工作站","","0"
"2014-09","義竹工作站","*","71"
"2014-08","義竹工作站","*","240.5"
"2014-07","義竹工作站","*","94.5"
"2014-06","義竹工作站","*","260.5"
"2014-05","義竹工作站","*","142.5"
"2014-04","義竹工作站","*","20.5"
"2014-03","義竹工作站","","74"
"2014-02","義竹工作站","","21"
"2014-01","義竹工作站","","0"
"2013-12","義竹工作站","","27.5"
"2013-11","義竹工作站","","11"
"2013-10","義竹工作站","","3"
"2013-09","義竹工作站","","54"
"2013-08","義竹工作站","","982.5"
"2013-07","義竹工作站","","153"
"2013-06","義竹工作站","","160.5"
"2013-05","義竹工作站","","258"
"2013-04","義竹工作站","","100.5"
"2013-03","義竹工作站","","12.5"
"2013-02","義竹工作站","","5.5"
"2013-01","義竹工作站","","12.5"
"2012-12","義竹工作站","","38"
"2012-11","義竹工作站","","70.5"
"2012-10","義竹工作站","","0"
"2012-09","義竹工作站","","19"
"2012-08","義竹工作站","","444.5"
"2012-07","義竹工作站","","168.5"
"2012-06","義竹工作站","","613.5"
"2012-05","義竹工作站","*","178"
"2012-04","義竹工作站","","79"
"2012-03","義竹工作站","","13.5"
"2012-02","義竹工作站","","46"
"2012-01","義竹工作站","","16"
"2011-12","義竹工作站","","8"
"2011-11","義竹工作站","","178"
"2011-10","義竹工作站","","20"
"2011-09","義竹工作站","","14"
"2011-08","義竹工作站","","133"
"2011-07","義竹工作站","","45"
"2011-06","義竹工作站","","207.5"
"2011-05","義竹工作站","","74"
"2011-04","義竹工作站","","8.5"
"2011-03","義竹工作站","","22.5"
"2011-02","義竹工作站","","16.5"
"2011-01","義竹工作站","","15"
"2010-12","義竹工作站","","17.5"
"2010-11","義竹工作站","","17"
"2010-10","義竹工作站","","22"
"2010-09","義竹工作站","","271"
"2010-08","義竹工作站","","69.5"
"2010-07","義竹工作站","","472.5"
"2010-06","義竹工作站","","174.5"
"2010-05","義竹工作站","","108.5"
"2010-04","義竹工作站","","49"
"2010-03","義竹工作站","","6"
"2010-02","義竹工作站","","23.5"
"2010-01","義竹工作站","","12.5"
"2023-03","義竹分場","","5.5"
"2023-02","義竹分場","","0"
"2023-01","義竹分場","","12.5"
"2022-12","義竹分場","","14"
"2022-11","義竹分場","","2"
"2022-10","義竹分場","","6"
"2022-09","義竹分場","","37"
"2022-08","義竹分場","","126.5"
"2022-07","義竹分場","","75"
"2022-06","義竹分場","","194.5"
"2022-05","義竹分場","","356.5"
"2022-04","義竹分場","","92.5"
"2022-03","義竹分場","","49.5"
"2022-02","義竹分場","","90.5"
"2022-01","義竹分場","","32.5"
"2021-12","義竹分場","","17.5"
"2021-11","義竹分場","","17"
"2021-10","義竹分場","","9"
"2021-09","義竹分場","","21"
"2021-08","義竹分場","","691.5"
"2021-07","義竹分場","","129"
"2021-06","義竹分場","","562.5"
"2021-05","義竹分場","","166.5"
"2021-04","義竹分場","","13"
"2023-03","種苗繁殖場","","20"
"2023-02","種苗繁殖場","","8.5"
"2023-01","種苗繁殖場","","9"
"2022-12","種苗繁殖場","","27"
"2022-11","種苗繁殖場","","25.5"
"2022-10","種苗繁殖場","","21"
"2022-09","種苗繁殖場","","128.5"
"2022-08","種苗繁殖場","","169.5"
"2022-07","種苗繁殖場","","197"
"2022-06","種苗繁殖場","","507"
"2022-05","種苗繁殖場","","555.5"
"2022-04","種苗繁殖場","","43"
"2022-03","種苗繁殖場","","197.5"
"2022-02","種苗繁殖場","","160"
"2022-01","種苗繁殖場","","45"
"2021-12","種苗繁殖場","","26.5"
"2021-11","種苗繁殖場","","8.5"
"2021-10","種苗繁殖場","","19.5"
"2021-09","種苗繁殖場","","86.5"
"2021-08","種苗繁殖場","","872.5"
"2021-07","種苗繁殖場","","255.5"
"2021-06","種苗繁殖場","","521.5"
"2021-05","種苗繁殖場","","232"
"2021-04","種苗繁殖場","","16"
"2021-03","種苗繁殖場","","37"
"2021-02","種苗繁殖場","","28.5"
"2021-01","種苗繁殖場","","11.5"
"2020-12","種苗繁殖場","","15"
"2020-11","種苗繁殖場","","9.5"
"2020-10","種苗繁殖場","","2"
"2020-09","種苗繁殖場","","13"
"2020-08","種苗繁殖場","","255"
"2020-07","種苗繁殖場","","182"
"2020-06","種苗繁殖場","","159.5"
"2023-03","畜產試驗所","","1"
"2023-02","畜產試驗所","","0"
"2023-01","畜產試驗所","","1.5"
"2022-12","畜產試驗所","","12"
"2022-11","畜產試驗所","","1"
"2022-10","畜產試驗所","","22"
"2022-09","畜產試驗所","","41"
"2022-08","畜產試驗所","","475"
"2022-07","畜產試驗所","","103"
"2022-06","畜產試驗所","","156"
"2022-05","畜產試驗所","","252"
"2022-04","畜產試驗所","","6.5"
"2022-03","畜產試驗所","","33.5"
"2022-02","畜產試驗所","","70"
"2022-01","畜產試驗所","","40.5"
"2021-12","畜產試驗所","","11"
"2021-11","畜產試驗所","","5"
"2021-10","畜產試驗所","","28.5"
"2021-09","畜產試驗所","","198"
"2021-08","畜產試驗所","","917"
"2021-07","畜產試驗所","","436.5"
"2021-06","畜產試驗所","","1062"
"2021-05","畜產試驗所","","59.5"
"2021-04","畜產試驗所","","26"
"2019-12","畜產試驗所","*","65.5"
"2019-11","畜產試驗所","*","0"
"2019-10","畜產試驗所","*","1"
"2019-09","畜產試驗所","*","264.5"
"2019-08","畜產試驗所","*","677.5"
"2019-07","畜產試驗所","","427.5"
"2019-06","畜產試驗所","","326.5"
"2019-05","畜產試驗所","*","184.5"
"2019-04","畜產試驗所","*","98.5"
"2019-03","畜產試驗所","","49.5"
"2019-02","畜產試驗所","","2.5"
"2019-01","畜產試驗所","","1"
"2018-12","畜產試驗所","*","0"
"2018-11","畜產試驗所","*","1"
"2018-10","畜產試驗所","","XXX"
"2018-09","畜產試驗所","","XXX"
"2018-08","畜產試驗所","","XXX"
"2018-07","畜產試驗所","*","523.5"
"2018-06","畜產試驗所","","620"
"2018-05","畜產試驗所","","XXX"
"2018-04","畜產試驗所","","2.5"
"2018-03","畜產試驗所","","0.5"
"2018-02","畜產試驗所","","XXX"
"2018-01","畜產試驗所","","21.5"
"2017-12","畜產試驗所","*","0"
"2017-11","畜產試驗所","","1"
"2017-10","畜產試驗所","*","4.5"
"2017-09","畜產試驗所","","89.5"
"2017-08","畜產試驗所","","152.5"
"2017-07","畜產試驗所","","478.5"
"2017-06","畜產試驗所","","344"
